STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,MEASURE,,UNIT_MEASURE,,SEX,,AGE,,TIME_HORIZ,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,DECIMALS,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUS,,POP,,PS,,_T,,Y20T24,,H,,2024,,1789488,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUS,,POP,,PS,,_T,,Y_LE4,,H,,2024,,1508794,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUS,,POP,,PS,,_T,,Y5T9,,H,,2024,,1610979,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUS,,POP,,PS,,_T,,Y40T44,,H,,2024,,1852045,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUS,,POP,,PS,,_T,,Y55T59,,H,,2024,,1533233,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUS,,POP,,PS,,_T,,Y25T29,,H,,2024,,1995918,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUS,,POP,,PS,,_T,,Y15T64,,H,,2024,,17710165,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUS,,POP,,PS,,_T,,Y_GE65,,H,,2024,,4700358,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUS,,POP,,PS,,_T,,Y10T14,,H,,2024,,1674513,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUS,,POP,,PS,,_T,,Y75T79,,H,,2024,,973142,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUS,,POP,,PS,,_T,,Y20T64,,H,,2024,,16047279,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUS,,POP,,PS,,_T,,Y45T49,,H,,2024,,1628109,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUS,,POP,,PS,,_T,,Y50T54,,H,,2024,,1690217,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUS,,POP,,PS,,_T,,Y35T39,,H,,2024,,1984649,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUS,,POP,,PS,,_T,,Y15T19,,H,,2024,,1662886,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUS,,POP,,PS,,_T,,_T,,H,,2024,,27204809,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUS,,POP,,PS,,_T,,Y_LT20,,H,,2024,,6457172,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUS,,POP,,PS,,_T,,Y80T84,,H,,2024,,612036,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUS,,POP,,PS,,_T,,Y_GE85,,H,,2024,,581511,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUS,,POP,,PS,,_T,,Y_GE50,,H,,2024,,9458223,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUS,,POP,,PS,,_T,,Y65T69,,H,,2024,,1359562,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUS,,POP,,PS,,_T,,Y30T34,,H,,2024,,2039205,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUS,,POP,,PS,,_T,,Y70T74,,H,,2024,,1174107,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUT,,POP,,PS,,_T,,Y10T14,,H,,2024,,440389,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUT,,POP,,PS,,_T,,Y20T64,,H,,2024,,5569256,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUT,,POP,,PS,,_T,,Y70T74,,H,,2024,,414265,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUT,,POP,,PS,,_T,,_T,,H,,2024,,9174908,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUT,,POP,,PS,,_T,,Y25T29,,H,,2024,,581582,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUT,,POP,,PS,,_T,,Y5T9,,H,,2024,,455615,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUT,,POP,,PS,,_T,,Y60T64,,H,,2024,,663014,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUT,,POP,,PS,,_T,,Y80T84,,H,,2024,,312188,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUT,,POP,,PS,,_T,,Y45T49,,H,,2024,,580860,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUT,,POP,,PS,,_T,,Y_LT20,,H,,2024,,1764808,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUT,,POP,,PS,,_T,,Y75T79,,H,,2024,,343065,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUT,,POP,,PS,,_T,,Y40T44,,H,,2024,,624987,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUT,,POP,,PS,,_T,,Y_GE50,,H,,2024,,3853593,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUT,,POP,,PS,,_T,,Y35T39,,H,,2024,,632606,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUT,,POP,,PS,,_T,,Y15T64,,H,,2024,,6017297,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUT,,POP,,PS,,_T,,Y55T59,,H,,2024,,711168,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUT,,POP,,PS,,_T,,Y30T34,,H,,2024,,638791,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUT,,POP,,PS,,_T,,Y_GE65,,H,,2024,,1840844,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUT,,POP,,PS,,_T,,Y65T69,,H,,2024,,531218,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUT,,POP,,PS,,_T,,Y15T19,,H,,2024,,448041,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUT,,POP,,PS,,_T,,Y_LE4,,H,,2024,,420763,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUT,,POP,,PS,,_T,,Y20T24,,H,,2024,,497681,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,AUT,,POP,,PS,,_T,,Y_GE85,,H,,2024,,240108,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,,POP,,PS,,_T,,Y70T74,,H,,2024,,570916,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,,POP,,PS,,_T,,Y20T64,,H,,2024,,6813843,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,,POP,,PS,,_T,,Y5T9,,H,,2024,,636757,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,,POP,,PS,,_T,,Y45T49,,H,,2024,,746447,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,,POP,,PS,,_T,,Y_LE4,,H,,2024,,582347,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,,POP,,PS,,_T,,Y35T39,,H,,2024,,769111,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,,POP,,PS,,_T,,Y_GE65,,H,,2024,,2380994,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,,POP,,PS,,_T,,Y30T34,,H,,2024,,780747,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,,POP,,PS,,_T,,Y80T84,,H,,2024,,303570,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,,POP,,PS,,_T,,Y20T24,,H,,2024,,686971,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,,POP,,PS,,_T,,Y40T44,,H,,2024,,771709,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,,POP,,PS,,_T,,Y50T54,,H,,2024,,774139,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,,POP,,PS,,_T,,Y10T14,,H,,2024,,688646,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,,POP,,PS,,_T,,Y_LT20,,H,,2024,,2599764,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,,POP,,PS,,_T,,Y60T64,,H,,2024,,770475,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,,POP,,PS,,_T,,_T,,H,,2024,,11794601,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,,POP,,PS,,_T,,Y55T59,,H,,2024,,785928,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,,POP,,PS,,_T,,Y_GE85,,H,,2024,,353500,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,,POP,,PS,,_T,,Y15T64,,H,,2024,,7505857,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,,POP,,PS,,_T,,Y15T19,,H,,2024,,692014,,A,,0,,0,
