STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,MEASURE,,UNIT_MEASURE,,SEX,,AGE,,TIME_HORIZ,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,DECIMALS,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2024,,4978524,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2025,,5083327,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2026,,5184496,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2027,,5284050,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2028,,5382330,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2029,,5482320,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2030,,5582685,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2031,,5688067,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2032,,5794318,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2033,,5904445,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2034,,6013394,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2035,,6122504,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2036,,6230252,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2037,,6335550,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2038,,6440022,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2039,,6543526,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2040,,6647765,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2041,,6749985,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2042,,6847021,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2043,,6940696,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2044,,7031043,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2045,,7118774,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2046,,7199878,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2047,,7275226,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2048,,7344792,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2049,,7412767,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2050,,7482871,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2051,,7550084,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2052,,7612228,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2053,,7675233,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2054,,7741380,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2055,,7810164,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2056,,7883131,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2057,,7960039,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2058,,8037696,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2059,,8113629,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2060,,8190236,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2061,,8263662,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2062,,8337189,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2063,,8409316,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2064,,8479375,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2065,,8546786,,A,,0,,,
