STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,MEASURE,,UNIT_MEASURE,,SEX,,AGE,,TIME_HORIZ,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,DECIMALS,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2024,,4978524,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUT,,POP,,PS,,F,,Y_GE50,,P,,2024,,2048331,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,BEL,,POP,,PS,,F,,Y_GE50,,P,,2024,,2476307,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,CAN,,POP,,PS,,F,,Y_GE50,,P,,2024,,8078299,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,CRI,,POP,,PS,,F,,Y_GE50,,P,,2024,,723270.45,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,DNK,,POP,,PS,,F,,Y_GE50,,P,,2024,,1258598,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,FIN,,POP,,PS,,F,,Y_GE50,,P,,2024,,1249410,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,ISL,,POP,,PS,,F,,Y_GE50,,P,,2024,,63849,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,ITA,,POP,,PS,,F,,Y_GE50,,P,,2024,,15203757,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,JPN,,POP,,PS,,F,,Y_GE50,,P,,2024,,33548177,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,MEX,,POP,,PS,,F,,Y_GE50,,P,,2024,,16125213,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,NZL,,POP,,PS,,F,,Y_GE50,,P,,2024,,951690,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,NOR,,POP,,PS,,F,,Y_GE50,,P,,2024,,1080185,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,ESP,,POP,,PS,,F,,Y_GE50,,P,,2024,,10634002,,A,,0,,,
